term	ttf	df
the 	78711303300	14723229
of 	51420789549	15344274
and 	34898480614	13680278
a 	34305884212	16640398
in 	31771089632	15892651
to 	28216667267	15059104
de 	21048091882	14534870
1 	12857214790	17693012
is 	12223247689	14379951
i 	11639046732	17315658
for 	11459091950	14529587
la 	10879915458	12963567
that 	10502283694	11473150
by 	8363863279	13076054
on 	8246588732	14879711
as 	8020329119	14597320
be 	7946187286	14654880
2 	7731401116	17549368
with 	7379780986	11625751
it 	7125069941	13640253
der 	6973634267	10130975
was 	6955749368	12342123
の 	6453266986	634220
die 	6303988384	10299729
or 	6248361259	14770152
3 	6211886343	17589208
e 	6123121788	16071744
en 	5956556961	13113288
at 	5768072120	14130667
et 	5689362030	11464742
this 	5535137208	11571963
are 	5358241031	12129296
from 	5343994195	12105206
o 	5311143070	15926536
que 	5269206353	6453692
und 	5176138869	6281013
des 	5155132582	10622698
an 	5143416533	15368281
s 	5079687357	16135012
4 	5049715187	17436765
not 	4962307587	12647442
て 	4768324220	654088
which 	4751825714	10884784
le 	4652873493	11492378
5 	4529264120	17412461
0 	4487563815	15220344
no 	4239709680	15044662
y 	4231396231	14271522
he 	4159387326	13066814
に 	3953989383	649313
his 	3814469279	11624351
have 	3802829353	10875250
l 	3765200532	15726818
m 	3755516995	15600692
c 	3738992545	15806788
les 	3709411090	8546170
p 	3652361977	15191190
6 	3596783272	17221789
か 	3440758582	650377
と 	3421353109	639989
一 	3420628022	1283367
8 	3376740375	17205210
る 	3288301534	630138
v 	3263898740	16367294
n 	3230958048	15775594
but 	3189000329	11889714
は 	3146563818	649385
и 	3131574014	1422525
的 	3111778991	1187228
7 	3073366186	17396510
r 	3024289097	15655583
se 	2963732845	11902570
were 	2955933429	10325014
し 	2931041710	656197
t 	2922410307	15733751
た 	2905626522	637664
all 	2898729355	12961161
el 	2898137946	9505653
so 	2895971914	14867296
j 	2846758936	15337429
9 	2776862245	17231847
b 	2768618534	15358274
い 	2762941441	654623
un 	2725703828	13008237
d 	2723590925	15534916
one 	2723540594	11635492
has 	2685611485	11746759
we 	2656840655	11267994
den 	2635423592	8704286
を 	2579963267	632036
they 	2578227880	10262616
f 	2564131980	15499051
10 	2500462331	16672232
had 	2489060665	10018552
w 	2482509160	14636857
been 	2468915635	10520293
du 	2442665018	9762675
von 	2435889430	7302642
their 	2435292404	10639793
h 	2433991779	15192938
il 	2427451311	10229597
will 	2413405593	11846799
в 	2336989512	1466746
な 	2257899264	634743
may 	2235606928	11626344
other 	2205751688	10754619
di 	2114948338	10565389
do 	2056617998	14055256
there 	2031258852	10290531
if 	2018414227	11984893
new 	2013120219	12495354
del 	1993809890	7266778
zu 	1973348018	4361151
its 	1925932227	11096592
you 	1892490121	8194861
11 	1887339196	16802313
das 	1883268843	6113470
more 	1875982304	11482581
u 	1860835261	14487964
g 	1859055477	14891617
con 	1854352219	12800049
es 	1824648752	11636332
per 	1822338666	13710480
such 	1814836714	10657278
12 	1807756155	16766102
these 	1804949258	11427886
would 	1804272571	9700381
any 	1771801129	10349909
los 	1768141121	8059555
when 	1732565357	10209990
qui 	1690056763	5649760
who 	1685537510	9948018
than 	1672613948	10619664
co 	1659337132	13394012
dans 	1653698485	4554410
time 	1646098352	11422857
人 	1641117186	1221869
れ 	1631297205	631214
mit 	1624866549	7030132
can 	1577213906	12275007
par 	1576633496	10947029
15 	1573380017	16624429
x 	1555280812	14955808
allfields:bib 	1552793109	17033899
allfieldsProper:bib 	1552793055	17033897
also 	1550528636	11603448
す 	1515717370	646758
some 	1509616564	10836018
two 	1503066761	10766594
20 	1502406281	16431959
も 	1497345980	641268
ii 	1460934207	15774393
al 	1450746139	12765266
こ 	1442359503	642437
si 	1441678365	10930882
only 	1427955072	10387385
see 	1425144148	11538503
state 	1408425280	10915452
under 	1396176420	10686986
ist 	1392374444	5605934
im 	1377966423	12155001
allfields:googl 	1369675514	17366655
allfieldsProper:google 	1369675507	17366655
est 	1363516596	8693564
年 	1332071455	1199854
them 	1327664794	9844147
allfields:us 	1327159234	16700710
allfieldsProper:us 	1327159233	16700710
man 	1324884775	12951358
あ 	1324119058	617453
dem 	1323033412	5466445
first 	1320959472	10692924
ら 	1320509912	614003
into 	1316639373	10591826
her 	1314480879	10786641
ne 	1302211567	10090334
me 	1301737561	13166800
er 	1295411253	9744444
13 	1295380406	16612480
mr 	1289322412	9156106
out 	1283817650	10873993
da 	1281508582	9530396
14 	1276512956	16584380
大 	1274603572	1195909
30 	1266415389	16100744
auf 	1262105047	3423636
16 	1257986945	16460987
our 	1254966170	9861301
made 	1248511861	10911076
с 	1247738761	1559711
之 	1241619798	1158158
au 	1235563003	9899055
should 	1216140925	9864329
non 	1215326374	11955161
う 	1214934887	618834
about 	1206766391	10028793
pour 	1205497284	6062974
sich 	1201418223	2667516
por 	1199795503	7049980
っ 	1199579399	620928
18 	1198710707	16460408
nicht 	1191620722	2640528
une 	1186619897	5253248
り 	1186099949	642922
him 	1167992822	8540542
中 	1161409053	1221176
general 	1160834366	13215847
said 	1159305086	8352575
las 	1140931840	6286432
what 	1140645057	9468643
不 	1134200211	1195660
на 	1131836902	1029000
25 	1131121554	16416452
up 	1122680266	11072478
after 	1115748125	10456128
二 	1112880320	1219701
k 	1105410618	13643919
17 	1095075838	16510713
my 	1088767259	9452485
а 	1087948321	1514416
ein 	1082503775	4005616
19 	1080256607	16416158
als 	1077378353	5092520
sie 	1063663304	4229313
shall 	1055350363	7570338
eine 	1052393304	3173723
over 	1046181969	10696119
z 	1043454565	11750887
fur 	1037286647	8486494
year 	1036862986	9673303
三 	1032225973	1217463
ce 	1024175217	8402784
very 	1021115445	9676817
sur 	1020470470	9794068
ou 	1013998776	7087390
most 	1009186234	10379532
21 	1008272708	16335293
upon 	1006374504	9518688
work 	1000515376	10099339
有 	998390469	1182979
十 	998329229	1196778
same 	995149022	10726644
22 	991244304	16412340
years 	988439365	9856952
part 	985870566	12215288
日 	985707743	1200342
dass 	983624970	2390741
son 	981248539	11624445
where 	977179983	9886761
then 	966461274	9859249
che 	958507747	5204531
each 	957799955	10038492
24 	957165510	16255360
between 	954675256	10180224
く 	954326724	639954
st 	941307819	11904039
those 	924364367	9972385
auch 	924212793	2552606
上 	921036989	1219953
now 	917923421	9963639
о 	916019933	1487606
being 	908323785	9867797
是 	906805791	1101231
plus 	900847842	8494689
una 	899999359	4564784
ま 	895314996	642714
well 	894690350	10335914
50 	892917201	15522124
she 	888328158	7145750
must 	880915235	9640010
23 	880182071	16293012
以 	875285892	1188298
00 	874381219	8829560
many 	866403841	9866080
am 	866215339	12340118
さ 	856544741	640183
re 	855514559	14180494
して 	855495897	546978
bei 	854683200	3788192
total 	852372514	10924100
aus 	851257439	5216386
su 	850029966	8652896
use 	849917961	11366274
本 	846952717	1197366
could 	845682941	9255011
war 	838080262	9429822
je 	834302688	7039789
き 	833695587	645006
pas 	831146279	7373672
states 	831109624	9399809
para 	830163792	7050801
allfields:miu 	828026731	7371547
allfieldsProper:miu 	828026648	7371547
na 	827994132	10501119
そ 	825224186	618124
在 	820003614	1184303
31 	818871617	15858722
through 	813530508	10063864
van 	812787797	9249165
100 	810206134	14472150
before 	805227991	9987056
number 	801794650	9858250
used 	801166483	9772857
water 	800413788	8841190
26 	794648968	16067603
28 	788804866	16087959
during 	788058265	9904785
case 	781973702	10328779
生 	774455188	1193384
us 	769031530	11871268
great 	767382551	9737588
27 	766452260	16079613
public 	766329561	10084187
つ 	764773866	627471
act 	763366911	9311339
nach 	761056968	3112337
地 	759796494	1188444
tion 	759217807	11775526
lo 	759061649	10375420
three 	755161050	10113251
よ 	745073513	617686
国 	740610639	1014400
29 	740221432	15979578
allfields:pd 	738021714	5235450
allfieldsProper:pd 	738021712	5235450
行 	733693593	1195407
出 	733350416	1200553
40 	732857654	15611850
your 	727972012	7257254
day 	727577359	9870246
者 	724372875	1182374
men 	724369433	11835945
sa 	721009254	9552869
much 	715831631	9545255
durch 	712392894	2701406
system 	709417826	10316411
both 	701330974	9963328
long 	698343382	11381235
事 	695710145	1196595
com 	689297856	12190862
не 	688309193	966154
section 	687469520	9022490
united 	687427110	9127062
high 	686273676	9896802
order 	685902665	9899897
allfields:doc 	682736986	1252500
allfieldsProper:doc 	682354835	1234288
allfields:1925 	681988795	14573227
allfieldsProper:1925 	681988795	14573227
court 	680748508	7718330
ad 	676143036	11368567
wie 	671268969	3030802
け 	670248354	624523
good 	668552080	9576307
service 	667448526	10008612
life 	666205872	9581464
law 	664668511	8837877
文 	661038078	1191087
like 	659168253	9339833
五 	657722136	1182444
york 	657654373	10248825
シ 	650685417	643605
point 	650090304	10989202
iii 	649377232	14320706
月 	648107570	1197045
和 	646522888	1185691
四 	645594353	1182320
allfields:v 	645346718	8684037
allfieldsProper:v 	645346678	8684019
する 	643396107	538149
company 	641357894	8300978
even 	640454003	10050597
city 	640361722	8786661
john 	640100920	9663517
because 	638654976	9275646
ing 	638584703	9850374
present 	636787921	10987690
make 	636403976	9689326
お 	635074080	639244
without 	634108350	9743094
学 	631702099	949391
てあ 	630643685	517037
allfields:date 	630344567	6791359
allfieldsProper:date 	630258467	6753265
found 	629981751	9512113
q 	627014326	11126318
第 	626884193	1171126
所 	625431947	1178952
people 	624433543	8414735
house 	618850468	8684916
did 	618169674	9052971
了 	616236352	1163814
how 	616000971	9548695
place 	615678112	11260693
35 	615131669	15844193
ある 	614792941	527743
ed 	614567977	10744781
national 	612155271	10168143
dr 	610902655	10775065
however 	610580647	9318727
um 	609989201	6431077
given 	608651885	9710222
к 	605136644	1382061
nous 	602502087	3660649
pro 	601291277	13049853
60 	600379351	15056510
allfields:fed 	597190830	1221828
allfieldsProper:fed 	597190665	1221794
werden 	596126363	2394794
government 	596090463	7935615
form 	594835040	11529362
while 	593067774	9475292
way 	592970684	9790459
ich 	590371673	3396897
mais 	589630861	3396026
分 	589619420	1192110
法 	587818652	1175749
会 	587452205	954033
子 	582963856	1193622
power 	577891291	8937513
school 	577476808	8338887
33 	576731169	15830811
ا 	575691220	420083
avec 	574021776	3186989
同 	573401726	1179490
large 	572025647	10602263
against 	571681906	8933487
方 	571354575	1185046
ト 	565643735	656934
ん 	565184282	638307
32 	565019576	15748457
八 	563522320	1177285
come 	562925582	10134239
ma 	562439890	11736516
fig 	561878421	5431598
aber 	560892399	2922729
second 	557680237	10988686
report 	553733544	9047136
oder 	552718695	2897715
г 	550588080	1400259
リ 	550352386	653933
te 	550255747	9683891
ス 	549531823	638865
within 	549368146	9598660
land 	548876538	10273062
ン 	547956285	624135
てい 	545691452	517401
成 	545631606	1178383
作 	545078079	1181835
own 	544284846	9127154
county 	543692516	5303558
como 	543374483	2693031
下 	541643239	1202629
american 	541032619	9040109
every 	540525356	9121984
less 	539862277	9678752
allfields:serial 	539848282	4897261
allfieldsProper:serial 	539765644	4888925
allfields:item 	539642358	4842710
allfieldsProper:item 	539557116	4830731
nur 	539410712	3090927
wird 	537011567	2215952
small 	535183357	9605420
right 	534554850	8991633
uber 	533942768	3289034
主 	533495318	1191733
自 	532473803	1178302
art 	531769768	10797247
allfields:non 	530221135	11111457
allfieldsProper:non 	530221110	11111457
pp 	530022066	7610222
einer 	528261810	2821972
cette 	527649896	2623658
по 	527165472	1046963
since 	526397612	9803319
sind 	526364990	2707454
here 	523543987	9858813
little 	519804254	9336316
data 	518228757	8797263
ex 	518155066	12230799
table 	515299115	10311105
こと 	514668918	520910
へ 	513496042	634759
用 	511064240	1170830
world 	510631020	9036761
last 	510449936	10983401
following 	509603700	9620315
め 	508886364	605917
34 	507580263	15547416
部 	507026179	1174217
其 	505904372	1010774
定 	505433159	1174714
45 	504250973	15483726
т 	502733844	1361964
zur 	501711755	3875738
university 	501270502	11937097
etc 	500682062	10975972
sont 	500153792	2851944
old 	496509960	9416452
って 	496029253	517552
ha 	494702236	9018182
value 	492845173	9029249
36 	488938048	15485546
я 	488852513	1211606
pa 	488088592	10204564
does 	487848914	9445545
家 	485953804	1181246
hat 	485282978	6364863
80 	484856709	14606876
した 	484240403	523373
民 	482752169	1144248
而 	482528157	931974
committee 	482443777	6480732
vol 	481706212	9914186
take 	478861458	9257965
六 	478386754	1157684
合 	475627164	1173368
ル 	475334750	630145
end 	475011753	10886221
aux 	473017019	3913006
another 	471270026	9328614
iv 	470966737	13385151
ment 	470801645	11110057
七 	469948222	1158396
理 	468280131	1165680
った 	468139433	496451
要 	464885524	1157974
above 	464884221	9473672
office 	459843835	9094197
information 	459259731	9606826
九 	458128903	1155350
line 	457931797	9805408
area 	456579796	8714330
board 	456371319	7652917
37 	455983522	15467767
也 	455813488	1054510
noch 	455637808	2378434
38 	455623332	15414531
development 	453520524	8428715
44 	453422233	15367274
ひ 	452638585	620350
55 	452612412	15236754
due 	452509301	11852577
business 	452359780	7606076
set 	452005266	10704560
della 	451997451	2601554
go 	451224391	12005319
department 	450425234	8347030
mas 	449016242	6678136
山 	448919921	1195395
might 	446772562	8609072
政 	446702691	1140586
から 	446592380	520723
工 	446386396	1158311
inc 	446226684	5679889
39 	445933625	15389340
他 	444642913	1153554
е 	443732543	1381576
thus 	442807740	9086352
70 	442373383	14715795
化 	440510626	1185543
meme 	440350418	2691902
study 	440266393	9214325
june 	440190514	7839130
control 	439743714	8799881
ces 	439291872	5248866
у 	437784613	1331565
country 	437273445	8224748
question 	436800441	9540847
90 	436346009	14434226
social 	434701144	8769175
41 	434030199	15150748
vi 	434028637	13165008
42 	433131879	15253506
comme 	433049462	2998237
different 	432837142	10311219
我 	431754853	1119602
research 	431471276	7622960
業 	430988516	862733
hand 	430167413	10894329
lui 	429860151	3564270
cases 	429713520	8762379
south 	429345201	8404571
cent 	428445112	8155228
力 	427963233	1172851
down 	427935370	8977773
having 	427750795	8944362
что 	427022189	672194
75 	426823219	14912716
action 	426619489	9519819
interest 	425823360	8999113
four 	425308520	10379945
period 	424732923	9357388
allfields:ic 	423572779	11055032
allfieldsProper:ic 	423571834	11054931
effect 	423384434	8993109
certain 	423191209	10331484
still 	422776989	9901506
group 	421443263	8357273
rate 	420187893	9429425
明 	418184522	1180649
far 	416953647	10770204
や 	416254949	625726
社 	415323904	1154300
ses 	415159056	6755787
fact 	414743716	8907716
amount 	413750136	8243575
え 	413586811	620516
taken 	412202837	9296142
代 	410384750	1178170
allfieldsProper:mdp 	410302700	7337728
allfields:mdp 	410302700	7337728
わ 	410017187	590103
等 	409525182	1176974
時 	408123106	892130
too 	408044988	9692910
ない 	407432800	512531
means 	407394271	9231877
president 	407381367	6895139
qu'il 	406944359	2403163
services 	406591938	8037580
north 	405171140	8708838
just 	405029064	9512123
51 	404787285	14775300
het 	404243940	1977985
allfields:uc 	401177219	7100347
allfieldsProper:uc 	401177157	7100308
48 	400499592	15107947
43 	399915791	15259029
小 	399725406	1192033
possible 	399241308	10537301
education 	398930074	7627438
paris 	398789219	9083975
可 	396996305	1179624
公 	396983047	1184852
м 	396755216	1278509
bien 	395958593	4078376
give 	395429492	9064596
来 	394484632	1046942
know 	393933955	8190063
前 	392953683	1174963
cm 	392929985	6256200
days 	392865494	8758420
въ 	391451059	212188
ft 	391337762	6983340
type 	389302051	9359094
among 	388503272	9126715
em 	388388040	9868149
name 	388252467	9954993
july 	387739541	7568249
52 	386393329	14948626
west 	385951829	9467040
age 	385770887	10545061
special 	384881700	10353286
air 	384173310	9346112
og 	384000092	3689237
london 	383415435	8923130
few 	383412207	9105656
49 	382050274	15036470
entre 	381831820	4267230
say 	381433600	8202308
wir 	381198812	2651142
local 	381072395	9483516
65 	380193400	14760334
course 	379783273	9499322
立 	379437175	1176210
conditions 	379001534	9568193
several 	377753766	9149126
せ 	376733140	622425
history 	376430410	8920171
bill 	375513241	5784317
金 	375411546	1176072
whether 	375151387	8623204
health 	374693327	7126824
subject 	374083326	9193671
01 	373457885	7982401
further 	373144634	9207474
46 	373100375	15010732
л 	372981128	1330153
新 	372758252	1176694
47 	372335278	15127620
elle 	371453469	3117616
多 	370171136	1202022
入 	369374404	1189727
mi 	368858126	9840039
54 	368722220	14837590
called 	368656197	8796691
results 	368240110	8302897
ca 	366996192	10423446
d'un 	366952878	3216176
einen 	366757893	2280620
med 	365465094	4193835
名 	365320251	1194495
members 	365297021	7921164
في 	365067055	350503
wenn 	364799108	2169810
diese 	364269687	2391970
vor 	362881953	3752868
53 	362285575	14988743
zum 	361970785	3077811
home 	361806626	8823331
back 	361634848	9161326
得 	361439666	1148686
production 	361082448	8007944
市 	360173854	1150510
important 	358754038	10043572
off 	358485654	9766044
61 	357944283	14517260
therefore 	357759683	8687260
five 	357671105	9406349
until 	357664238	8822547
み 	357348032	623206
field 	356490897	9043166
never 	356232216	8242202
leur 	355854749	2669769
children 	355773934	6836170
free 	355618381	9301941
bis 	355035638	5651000
为 	354869494	489958
いる 	354475136	480366
nature 	354204220	10494524
program 	353864290	5706003
whole 	353088205	8849971
held 	352354493	9223716
side 	351976726	9143358
cost 	351082028	7769855
高 	350478756	1179382
william 	350186749	7805115
56 	350138257	14755160
物 	349585036	1179562
フ 	349126071	631102
einem 	349047504	2411611
necessary 	349042881	8854795
av 	349004942	5226335
c'est 	348955921	2624787
white 	348079455	8641818
外 	347983980	1188566
book 	347755584	9430079
و 	347611885	434774
能 	347552420	1154974
wurde 	347469775	1995094
light 	347211257	8931895
date 	346704666	11287524
d'une 	346157024	2872849
bank 	346053213	7366374
ノ 	346032237	644265
change 	345688758	10321079
think 	344802131	6976893
yet 	344191500	8692466
nos 	342546610	7252715
ク 	342412832	636456
如 	342255838	1147961
though 	342251405	8408659
心 	342034150	1180902
france 	341518206	7953205
正 	341404002	1181294
